ideltter,idtercmplx,cdepaysiso4n,incl,ordaff,ord_list
91269806,88477259,2136,1,0,1.0000000000
92534755,89740382,2136,1,0,1.0000000000
97968321,95166283,2136,1,0,1.0000000000
98075696,95273233,2136,1,0,1.0000000000
100791984,97985917,2136,1,0,1.0000000000
104367841,101556872,2136,1,0,1.0000000000
105717569,102905714,2136,1,0,1.0000000000
106735925,103912467,2136,1,0,1.0000000000
107285521,104461460,2136,1,0,1.0000000000
112234706,109404591,2136,1,0,1.0000000000
113831670,110997361,2136,1,0,1.0000000000
116678271,113836022,2136,1,0,1.0000000000
117160509,114317563,2136,1,0,1.0000000000
117580730,114737652,2136,1,0,1.0000000000
117633792,114790075,2136,1,0,1.0000000000
117645156,114800213,2136,1,0,1.0000000000
14199546,13025375,2136,1,0,1.0000000000
14199547,13025375,826,1,0,2.0000000000
14199548,13025375,372,1,0,3.0000000000
27255233,24749159,2136,1,0,1.0000000000
27255234,24749159,826,0,0,2.0000000000
27255235,24749159,372,0,0,3.0000000000
91287242,88494263,2136,1,0,1.0000000000
91287243,88494263,826,0,0,2.0000000000
91287244,88494263,372,0,0,3.0000000000
92544026,89748759,2136,1,0,1.0000000000
92544027,89748759,826,0,0,2.0000000000
92544028,89748759,372,0,0,3.0000000000
92967803,90172034,2136,1,0,1.0000000000
92967804,90172034,826,0,0,2.0000000000
92967805,90172034,372,0,0,3.0000000000
93898941,91101787,2136,1,0,1.0000000000
93898942,91101787,826,0,0,2.0000000000
93898943,91101787,372,0,0,3.0000000000
98557625,95754195,2136,1,0,1.0000000000
98557626,95754195,826,0,0,2.0000000000
98557627,95754195,372,0,0,3.0000000000
98979257,96175726,2136,1,0,1.0000000000
98979258,96175726,826,0,0,2.0000000000
98979259,96175726,372,0,0,3.0000000000
99444986,96640418,2136,1,0,1.0000000000
99444987,96640418,826,0,0,2.0000000000
99444988,96640418,372,0,0,3.0000000000
101654080,98847325,2136,1,0,1.0000000000
101654081,98847325,826,0,0,2.0000000000
101654082,98847325,372,0,0,3.0000000000
102536951,99729392,2136,1,0,1.0000000000
102536952,99729392,826,0,0,2.0000000000
102536953,99729392,372,0,0,3.0000000000
102972597,100164993,2136,1,0,1.0000000000
102972598,100164993,826,0,0,2.0000000000
102972599,100164993,372,0,0,3.0000000000
103383827,100576052,2136,1,0,1.0000000000
103383828,100576052,826,0,0,2.0000000000
103383829,100576052,372,0,0,3.0000000000
106207796,103394595,2136,1,0,1.0000000000
106207797,103394595,826,0,0,2.0000000000
106207798,103394595,372,0,0,3.0000000000
106222766,103409683,2136,1,0,1.0000000000
106222767,103409683,826,0,0,2.0000000000
106222768,103409683,372,0,0,3.0000000000
115281260,112440503,2136,1,0,1.0000000000
115281261,112440503,826,0,0,2.0000000000
115281262,112440503,372,0,0,3.0000000000
115730076,112889309,2136,1,0,1.0000000000
115730077,112889309,826,0,0,2.0000000000
115730078,112889309,372,0,0,3.0000000000
117142316,114299848,2136,1,0,1.0000000000
117142317,114299848,826,0,0,2.0000000000
117142318,114299848,372,0,0,3.0000000000
117152856,114310137,2136,1,0,1.0000000000
117152857,114310137,826,0,0,2.0000000000
117152858,114310137,372,0,0,3.0000000000
117633793,114790076,2136,1,0,1.0000000000
117633794,114790076,826,0,0,2.0000000000
117633795,114790076,372,0,0,3.0000000000
14317366,13098533,2136,1,0,1.0000000000
138636383,135731590,2136,1,1,1.0000000000
170097305,166848214,2136,1,1,1.0000000000
45739764,43064981,2136,1,0,1.0000000000
45783272,43108365,2136,1,0,1.0000000000
46306240,43630108,2136,1,0,1.0000000000
47189718,44511415,2136,1,0,1.0000000000
65887294,63175931,2136,1,0,1.0000000000
106240184,103426979,2136,1,0,1.0000000000
129909196,127024448,2136,1,0,1.0000000000
166611892,163418263,2136,1,0,1.0000000000
166662179,163468101,2136,1,0,1.0000000000
171065929,167813581,2136,1,0,1.0000000000
171623696,168365959,2136,1,0,1.0000000000
171641031,168383016,2136,1,0,1.0000000000
171737269,168478432,2136,1,0,1.0000000000
