iddetcessnr,cdecategadsacem,numcatal,numpers,gestnr,datdbtvld,datfinvld,idctr,idpcttypdrt
986299,SE,353592,228672,0,,,386172,2492552
995689,SE,353592,228672,0,,,389576,2515674
995690,SE,353592,228672,0,,,389576,2515675
995691,SE,353592,228672,0,,,389576,2515676
996001,SE,353592,228672,0,,,389700,2516512
996002,SE,353592,228672,0,,,389700,2516513
996003,SE,353592,228672,0,,,389700,2516514
996394,SE,353592,228672,0,,,389831,2517315
996395,SE,353592,228672,0,,,389831,2517316
996396,SE,353592,228672,0,,,389831,2517317
999657,SE,353592,228672,0,,,390972,2528408
999658,SE,353592,228672,0,,,390972,2528409
999659,SE,353592,228672,0,,,390972,2528410
1005117,SE,353592,228672,0,,,392839,2546549
1005118,SE,353592,228672,0,,,392839,2546550
1005119,SE,353592,228672,0,,,392839,2546551
1005584,SE,353592,228672,0,,,393001,2547530
1005585,SE,353592,228672,0,,,393001,2547531
1005586,SE,353592,228672,0,,,393001,2547532
1006391,SE,353592,228672,0,,,393290,2549363
1006392,SE,353592,228672,0,,,393290,2549364
1006393,SE,353592,228672,0,,,393290,2549365
1007469,SE,353592,228672,0,,,393696,2552133
1007470,SE,353592,228672,0,,,393696,2552134
1007471,SE,353592,228672,0,,,393696,2552135
1012712,SE,353592,228672,0,,,395557,2563985
1012713,SE,353592,228672,0,,,395557,2563986
1012714,SE,353592,228672,0,,,395557,2563987
1014154,SE,353592,228672,0,,,396051,2566872
1014155,SE,353592,228672,0,,,396051,2566873
1014156,SE,353592,228672,0,,,396051,2566874
1018277,SE,353592,228672,0,,,397492,2576514
1018278,SE,353592,228672,0,,,397492,2576515
1018279,SE,353592,228672,0,,,397492,2576516
30721,SE,273735,113765,0,,,10309,219617
30722,SE,273735,113765,0,,,10309,219619
30723,SE,273735,113765,0,,,10309,219621
322382,SE,273735,113765,0,,,145608,914931
322383,SE,273735,113765,0,,,145608,914932
322384,SE,273735,113765,0,,,145608,914933
248216,SE,468995,111430,0,,,91077,693302
248217,SE,468995,111430,0,,,91077,693303
248218,SE,468995,111430,0,,,91077,693304
796325,SE,192656,514547,0,,,308748,2015396
796326,SE,192656,514547,0,,,308748,2015397
796327,SE,192656,514547,0,,,308748,2015398
863417,SE,462773,109933,0,,,342412,2166799
863418,SE,462773,109933,0,,,342412,2166800
863419,SE,462773,109933,0,,,342412,2166801
758,SE,154552,202630,0,,,253,156619
759,SE,154552,202630,0,,,253,156623
760,SE,154552,202630,0,,,253,156627
336672,SE,154552,202630,0,,,150382,944082
336674,SE,154552,202630,0,,,150382,944084
336676,SE,154552,202630,0,,,150382,944087
908958,SE,154552,202630,0,,,358733,2277857
908959,SE,154552,202630,0,,,358733,2277858
908960,SE,154552,202630,0,,,358733,2277859
915579,SE,154552,202630,0,,,361006,2292135
915580,SE,154552,202630,0,,,361006,2292136
915581,SE,154552,202630,0,,,361006,2292137
919085,SE,154552,202630,0,,,362208,2299876
919086,SE,154552,202630,0,,,362208,2299877
919087,SE,154552,202630,0,,,362208,2299878
924242,SE,154552,202630,0,,,364047,2311002
924243,SE,154552,202630,0,,,364047,2311003
924244,SE,154552,202630,0,,,364047,2311004
939032,SE,154552,202630,0,,,369337,2382317
939033,SE,154552,202630,0,,,369337,2382318
939034,SE,154552,202630,0,,,369337,2382319
939798,SE,154552,202630,0,,,369599,2384333
