cdepaysiso4npere,cdepaysiso4nfils,gpeterfils,datcre,usercre,datmaj,usermaj,datdbtvld,datfinvld
2038,484,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,558,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,591,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,600,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,604,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,630,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,222,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,858,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,862,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,226,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3104,2035,0,2014-08-22 16:45:54.000000,TASSINB,2014-08-22 16:45:54.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2121,100,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,196,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,203,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,233,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,348,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,428,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,440,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,470,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,616,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,642,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,703,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,705,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
2121,756,0,2012-12-07 10:11:04.000000,BAUTISTAF,2012-12-07 10:11:04.000000,BAUTISTAF,1000-01-01 00:00:00.000000,
208,304,0,2014-08-21 12:59:29.000000,TASSINB,2014-08-21 12:59:29.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2114,196,0,2014-08-21 15:35:43.000000,TASSINB,2014-08-21 15:35:43.000000,TASSINB,1961-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2117,612,0,2014-08-21 15:35:43.000000,TASSINB,2014-08-21 15:35:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2111,660,0,2014-08-21 16:05:41.000000,TASSINB,2014-08-21 16:05:41.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2111,234,0,2014-08-21 16:29:10.000000,TASSINB,2014-08-21 16:29:10.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2111,239,0,2014-08-21 16:29:10.000000,TASSINB,2014-08-21 16:29:10.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2111,832,0,2014-08-21 16:50:38.000000,TASSINB,2014-08-21 16:50:38.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2119,2109,0,2014-08-22 10:10:18.000000,TASSINB,2014-08-22 10:10:18.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3104,3026,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3026,3030,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3030,826,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3030,372,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3030,356,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3030,586,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3026,36,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3026,124,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
3030,554,0,2014-08-25 08:56:53.000000,TASSINB,2014-08-25 08:56:53.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2018,316,0,2014-08-20 16:27:40.000000,TASSINB,2014-08-20 16:27:40.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2018,296,0,2014-08-20 16:27:40.000000,TASSINB,2014-08-20 16:27:40.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2018,540,0,2014-08-20 16:27:40.000000,TASSINB,2014-08-20 16:27:40.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2018,520,0,2014-08-20 16:27:40.000000,TASSINB,2014-08-20 16:27:40.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,20,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,276,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,40,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,724,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,250,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,292,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,300,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,380,0,2014-08-21 11:28:43.000000,TASSINB,2014-08-21 11:28:43.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
