idctr,cdetypctr,numctr,indcsbl,second,datdbtctr,datfinctr,numinf,idtercmplx,datdbtsys,datfinsys,fledit,biem,cdestatutctr,expireffetimmediat,idtercess,optaffl,datfincollect
387371,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,107058042,2018-12-07 00:00:00.000000,2019-01-03 00:00:00.000000, ,0,002,0,,0,
389171,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,108933156,2019-01-03 00:00:00.000000,2019-01-14 00:00:00.000000, ,0,002,0,,0,
389642,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,109813644,2019-01-14 00:00:00.000000,2019-01-16 00:00:00.000000, ,0,002,0,,0,
389839,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,109852910,2019-01-16 00:00:00.000000,2019-01-17 00:00:00.000000, ,0,002,0,,0,
389949,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,109880224,2019-01-17 00:00:00.000000,2019-02-04 00:00:00.000000, ,0,002,0,,0,
391483,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,111843841,2019-02-04 00:00:00.000000,2019-02-28 00:00:00.000000, ,0,002,0,,0,
394412,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,113402329,2019-02-28 00:00:00.000000,2019-03-06 00:00:00.000000, ,0,002,0,,0,
394860,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,113860328,2019-03-06 00:00:00.000000,2019-03-08 00:00:00.000000, ,0,002,0,,0,
394994,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,113874634,2019-03-08 00:00:00.000000,2019-03-13 00:00:00.000000, ,0,002,0,,0,
395275,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,114310128,2019-03-13 00:00:00.000000,2019-03-21 00:00:00.000000, ,0,002,0,,0,
396254,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,114754131,2019-03-21 00:00:00.000000,, ,0,002,0,,0,
101824,GENERALOL,82376,0,0,2013-05-29 00:00:00.000000,,0,19778608,1850-01-01 00:00:00.000000,2013-08-19 00:00:00.000000, ,,002,0,,0,
107574,GENERALOL,82376,0,0,2013-03-01 00:00:00.000000,,0,21741788,2013-08-19 00:00:00.000000,2013-11-28 00:00:00.000000, ,0,002,0,,0,
241534,GENERALOL,82376,0,0,2013-03-01 00:00:00.000000,,0,27276404,2013-11-28 00:00:00.000000,2016-07-12 00:00:00.000000, ,0,002,0,,0,
307561,GENERALOL,82376,0,0,2013-03-01 00:00:00.000000,,0,55912322,2016-07-12 00:00:00.000000,2018-02-21 00:00:00.000000, ,0,002,0,,0,
362831,GENERALOL,82376,0,0,2013-03-01 00:00:00.000000,,82376,88909383,2018-02-21 00:00:00.000000,2022-05-18 00:00:00.000000, ,0,002,0,,0,
470632,GENERALOL,82376,0,0,2013-03-01 00:00:00.000000,,82376,152708878,2022-05-18 00:00:00.000000,2023-10-27 00:00:00.000000,0,0,002,0,,0,
504805,GENERALOL,82376,0,0,2013-03-01 00:00:00.000000,,82376,164875894,2023-10-27 00:00:00.000000,,0,0,002,0,,0,
250175,GENERAL,86717,0,0,2014-01-13 00:00:00.000000,,0,28159174,2014-01-13 00:00:00.000000,2014-01-14 00:00:00.000000, ,0,000,0,,0,
250280,GENERAL,86717,0,0,2011-07-01 00:00:00.000000,,0,28164426,2014-01-14 00:00:00.000000,2014-02-06 00:00:00.000000, ,0,002,0,,0,
252073,GENERAL,86717,0,0,2011-07-01 00:00:00.000000,,86717,28923116,2014-02-06 00:00:00.000000,, ,0,002,0,,0,
257214,GENERAL,88504,1,0,2011-07-01 00:00:00.000000,,0,32964127,2014-06-02 00:00:00.000000,2018-08-01 00:00:00.000000, ,0,002,0,,0,
374416,GENERAL,88504,1,0,2011-07-01 00:00:00.000000,,0,99294359,2018-08-01 00:00:00.000000,2018-10-02 00:00:00.000000, ,0,002,0,,0,
