iddetcessnr,cdecategadsacem,numcatal,numpers,gestnr,datdbtvld,datfinvld,idctr,idpcttypdrt
604758,SE,803643,799224,0,,,241534,1533931
793244,SE,803643,799224,0,,,307561,2007355
793245,SE,803643,799224,0,,,307561,2007356
793246,SE,803643,799224,0,,,307561,2007357
920834,SE,803643,799224,0,,,362831,2303789
920835,SE,803643,799224,0,,,362831,2303790
920836,SE,803643,799224,0,,,362831,2303791
1241857,SE,803643,799224,0,,,470632,3324831
1241858,SE,803643,799224,0,,,470632,3324832
1241859,SE,803643,799224,0,,,470632,3324833
1357815,SE,803643,799224,0,,,504805,3687003
1357816,SE,803643,799224,0,,,504805,3687004
1357817,SE,803643,799224,0,,,504805,3687005
629923,SE,374078,414342,0,,,250175,1592239
629924,SE,374078,414342,0,,,250175,1592240
629925,SE,374078,414342,0,,,250175,1592241
630218,SE,374078,414342,0,,,250280,1592941
630219,SE,374078,414342,0,,,250280,1592942
630220,SE,374078,414342,0,,,250280,1592943
635091,SE,374078,414342,0,,,252073,1604496
635092,SE,374078,414342,0,,,252073,1604497
635093,SE,374078,414342,0,,,252073,1604498
649620,SE,477465,180718,0,,,257214,1641660
649621,SE,477465,180718,0,,,257214,1641661
649622,SE,477465,180718,0,,,257214,1641662
953209,SE,477465,180718,0,,,374416,2414386
953210,SE,477465,180718,0,,,374416,2414387
953211,SE,477465,180718,0,,,374416,2414388
965543,SE,477465,180718,0,,,378989,2444256
965544,SE,477465,180718,0,,,378989,2444257
965545,SE,477465,180718,0,,,378989,2444258
974182,SE,477465,180718,0,,,381894,2462106
974183,SE,477465,180718,0,,,381894,2462107
974184,SE,477465,180718,0,,,381894,2462108
993492,SE,477465,180718,0,,,388737,2509631
993493,SE,477465,180718,0,,,388737,2509632
993494,SE,477465,180718,0,,,388737,2509633
821520,SE,986167,968405,0,,,320713,2077965
821521,SE,986167,968405,0,,,320713,2077966
821522,SE,986167,968405,0,,,320713,2077967
827480,SE,986167,968405,0,,,322873,2092449
827481,SE,986167,968405,0,,,322873,2092451
827483,SE,986167,968405,0,,,322873,2092455
860301,SE,986167,968405,0,,,341340,2159969
860302,SE,986167,968405,0,,,341340,2159970
860303,SE,986167,968405,0,,,341340,2159971
224837,E,82990,151712,0,,,78480,625310
1044241,SE,663975,735178,0,,,406835,2690738
1044242,SE,663975,735178,0,,,406835,2690739
1044243,SE,663975,735178,0,,,406835,2690740
1171138,SE,223697,233757,0,,,450611,3096197
1171139,SE,223697,233757,0,,,450611,3096198
1171140,SE,223697,233757,0,,,450611,3096199
1179238,SE,450659,494968,0,,,453102,3121822
1179239,SE,450659,494968,0,,,453102,3121823
1179240,SE,450659,494968,0,,,453102,3121824
1213291,SE,192656,514547,0,,,462432,3231827
1213292,SE,192656,514547,0,,,462432,3231828
1213293,SE,192656,514547,0,,,462432,3231829
1214777,SE,192656,514547,0,,,462885,3236283
1214778,SE,192656,514547,0,,,462885,3236284
1214779,SE,192656,514547,0,,,462885,3236285
1388438,SE,1582619,1345716,0,,,514192,3782203
1388439,SE,1582619,1345716,0,,,514192,3782204
1388440,SE,1582619,1345716,0,,,514192,3782205
1417021,SE,1275709,1243838,0,,,522681,3869744
1417022,SE,1275709,1243838,0,,,522681,3869745
1417023,SE,1275709,1243838,0,,,522681,3869746
829580,SE,389820,520429,0,,,323577,2096809
570050,SE,79365,120855,0,,,229896,1460640
895857,SE,3893,31914,0,,,354252,2249435
472545,SE,65161,2476,0,,,196916,1254305
920872,SE,690383,799204,0,,,362843,2303863
472544,SE,65161,2476,0,,,196916,1254304
898214,SE,1061599,1039885,0,,,355084,2254672
334945,SE,65161,2476,0,,,149803,940601
787949,SE,79365,120855,0,,,305649,1992755
829582,SE,389820,520429,0,,,323577,2096811
334935,SE,65161,2476,0,,,149803,940593
822005,SE,79365,120855,0,,,320954,2079521
896650,SE,1061599,1039885,0,,,354536,2251142
295590,SE,690383,799204,0,,,107596,824903
178422,SE,79365,120855,0,,,59879,529718
920871,SE,690383,799204,0,,,362843,2303862
178421,SE,79365,120855,0,,,59879,529716
685037,SE,75694,84021,0,,,269470,1720499
1056,SE,468837,109933,0,,,353,157247
295591,SE,690383,799204,0,,,107596,824904
895858,SE,3893,31914,0,,,354252,2249436
570053,SE,79365,120855,0,,,229896,1460646
123801,SE,75694,84021,0,,,41566,415553
608102,SE,690383,799204,0,,,242652,1540974
608101,SE,690383,799204,0,,,242652,1540973
425491,SE,75694,84021,0,,,180984,1154750
472543,SE,65161,2476,0,,,196916,1254303
1006386,SE,65161,2476,0,,,393288,2549352
1006385,SE,65161,2476,0,,,393288,2549351
787950,SE,79365,120855,0,,,305649,1992756
570051,SE,79365,120855,0,,,229896,1460644
9710,SE,65161,2476,0,,,3254,175537
608100,SE,690383,799204,0,,,242652,1540972
839052,SE,79365,120855,0,,,326736,2116295
123798,SE,75694,84021,0,,,41566,415549
920870,SE,690383,799204,0,,,362843,2303861
895762,SE,3893,31914,0,,,354207,2249239
896397,SE,1061599,1039885,0,,,354452,2250603
822120,SE,389820,520429,0,,,320993,2079761
955145,SE,65161,2476,0,,,375114,2418558
895763,SE,3893,31914,0,,,354207,2249240
896651,SE,1061599,1039885,0,,,354536,2251143
839050,SE,79365,120855,0,,,326736,2116293
787948,SE,79365,120855,0,,,305649,1992754
9708,SE,65161,2476,0,,,3254,175535
898213,SE,1061599,1039885,0,,,355084,2254671
822004,SE,79365,120855,0,,,320954,2079520
123800,SE,75694,84021,0,,,41566,415551
425489,SE,75694,84021,0,,,180984,1154745
822121,SE,389820,520429,0,,,320993,2079762
295589,SE,690383,799204,0,,,107596,824902
896396,SE,1061599,1039885,0,,,354452,2250602
839054,SE,79365,120855,0,,,326736,2116297
685038,SE,75694,84021,0,,,269470,1720500
1057,SE,468837,109933,0,,,353,157250
896649,SE,1061599,1039885,0,,,354536,2251141
895764,SE,3893,31914,0,,,354207,2249241
425490,SE,75694,84021,0,,,180984,1154746
334941,SE,65161,2476,0,,,149803,940598
685039,SE,75694,84021,0,,,269470,1720501
1052,SE,468837,109933,0,,,353,157244
895859,SE,3893,31914,0,,,354252,2249437
822119,SE,389820,520429,0,,,320993,2079760
896395,SE,1061599,1039885,0,,,354452,2250601
178420,SE,79365,120855,0,,,59879,529714
1006387,SE,65161,2476,0,,,393288,2549353
9709,SE,65161,2476,0,,,3254,175536
898215,SE,1061599,1039885,0,,,355084,2254673
955144,SE,65161,2476,0,,,375114,2418557
955143,SE,65161,2476,0,,,375114,2418556
829581,SE,389820,520429,0,,,323577,2096810
822003,SE,79365,120855,0,,,320954,2079519
508,SE,207169,99440,0,,,170,156074
509,SE,207169,99440,0,,,170,156076
510,SE,207169,99440,0,,,170,156079
