ideltter,idtercmplx,cdepaysiso4n,incl,ordaff,ord_list
106170147,103357383,442,0,0,3.0
91694385,88901144,2136,1,0,1.0
133679799,130789156,499,1,11,11.0
133679797,130789156,191,1,9,9.0
153890196,150839949,598,0,24,24.0
153890190,150839949,470,0,18,18.0
99419167,96615271,3017,1,0,2.0
117164055,114321088,3017,1,0,2.0
14258062,13059447,380,0,0,2.0
114012873,111176447,3017,1,0,2.0
95856962,93056953,3041,1,0,1.0
104830148,102018932,380,0,0,2.0
153686288,150636492,2136,1,1,1.0
115187354,112347985,56,1,0,4.0
106177157,103364088,380,0,0,2.0
117580451,114737395,2136,1,0,1.0
28600016,26087390,760,0,0,6.0
4152994,3821783,2136,1,0,1.0
97985056,95182883,2136,1,0,1.0
110404595,107575399,2136,1,0,1.0
129844002,126960216,2136,1,0,1.0
88657597,85880359,140,1,0,26.0
88661273,85883922,670,1,0,7.0
88661278,85883922,480,1,0,12.0
14186722,13018473,442,0,0,2.0
88661293,85883922,174,1,0,27.0
88661290,85883922,204,1,0,24.0
88657572,85880359,2120,1,0,1.0
88657582,85880359,478,1,0,11.0
88657575,85880359,768,1,0,4.0
88657596,85880359,148,1,0,25.0
14186723,13018473,792,0,0,3.0
88661289,85883922,258,1,0,23.0
102536895,99729360,2136,1,0,1.0
29751265,27215854,3017,1,0,1.0
88657598,85880359,120,1,0,27.0
73392009,70658695,2136,1,0,1.0
89075515,86296615,2136,1,0,1.0
88661297,85883922,52,1,0,31.0
88657579,85880359,540,1,0,8.0
71990518,69261725,2136,1,0,1.0
88661280,85883922,466,1,0,14.0
88661270,85883922,768,1,0,4.0
88657591,85880359,258,1,0,20.0
88661294,85883922,148,1,0,28.0
88661291,85883922,196,1,0,25.0
88661288,85883922,262,1,0,22.0
91702948,88909395,2121,1,0,1.0
88657587,85880359,324,1,0,16.0
88657581,85880359,480,1,0,10.0
88661267,85883922,2120,1,0,1.0
115730046,112889294,2136,1,0,1.0
88657578,85880359,562,1,0,7.0
71990375,69261686,2136,1,0,1.0
36468761,33851402,3017,1,0,1.0
24197826,21741810,2121,1,0,1.0
29751266,27215854,442,0,0,2.0
14289461,13077999,2136,1,0,1.0
88661286,85883922,268,1,0,20.0
29864075,27277522,2121,1,0,1.0
88661272,85883922,686,1,0,6.0
88657584,85880359,398,1,0,13.0
27253555,24747792,2136,1,0,1.0
88661283,85883922,384,1,0,17.0
88661271,85883922,736,1,0,5.0
14191904,13021374,2136,1,0,1.0
88661298,85883922,44,1,0,32.0
88657595,85880359,174,1,0,24.0
88661279,85883922,478,1,0,13.0
73399433,70661854,2136,1,0,1.0
29781670,27231786,2136,1,0,1.0
88661295,85883922,140,1,0,29.0
88661285,85883922,324,1,0,19.0
88657593,85880359,196,1,0,22.0
88661269,85883922,788,1,0,3.0
88661299,85883922,12,1,0,33.0
88661284,85883922,376,1,0,18.0
88661277,85883922,504,1,0,11.0
88661287,85883922,266,1,0,21.0
88657599,85880359,12,1,0,28.0
36468762,33851402,442,0,0,2.0
88657577,85880359,686,1,0,6.0
88657573,85880359,792,1,0,2.0
29841835,27264766,2136,1,0,1.0
14258469,13059686,442,0,0,2.0
88661282,85883922,388,1,0,16.0
88657588,85880359,268,1,0,17.0
88661268,85883922,792,1,0,2.0
88661275,85883922,562,1,0,9.0
88657592,85880359,204,1,0,21.0
88657576,85880359,736,1,0,5.0
88657580,85880359,504,1,0,9.0
88661276,85883922,540,1,0,10.0
89083370,86303981,2136,1,0,1.0
88661281,85883922,398,1,0,15.0
88657589,85880359,266,1,0,18.0
88657574,85880359,788,1,0,3.0
88661274,85883922,662,1,0,8.0
88661292,85883922,178,1,0,26.0
14258468,13059686,3017,1,0,1.0
88657594,85880359,178,1,0,23.0
88657583,85880359,466,1,0,12.0
88661296,85883922,120,1,0,30.0
88657586,85880359,376,1,0,15.0
56964607,54272507,2136,1,0,1.0
14186721,13018473,3017,1,0,1.0
88657590,85880359,262,1,0,19.0
89545720,86765007,2136,1,0,1.0
88657585,85880359,384,1,0,14.0
1738099,1600148,100,1,0,1.0
1738100,1600148,642,1,0,2.0
1738101,1600148,276,1,0,3.0
1738105,1600148,200,1,0,4.0
1738106,1600148,616,1,0,5.0
1738107,1600148,890,1,0,6.0
1738108,1600148,348,1,0,7.0
1738109,1600148,810,1,0,8.0
1738112,1600154,2136,1,0,1.0
23426628,20982602,2136,1,0,1.0
41630381,38968804,2136,1,0,1.0
71122474,68396465,2136,1,0,1.0
113964970,111129026,2136,1,0,1.0
148094287,145164376,2136,1,0,1.0
148112266,145182284,2136,1,0,1.0
91281076,88488421,3017,1,0,1.0
117152695,114310060,442,0,0,2.0
91269724,88477218,442,0,0,2.0
109347246,106520262,2136,1,0,1.0
29348842,26818755,2136,1,0,1.0
150446130,147458049,2136,1,1,1.0
109347247,106520262,826,0,0,2.0
26895667,24394736,3017,1,0,1.0
26895668,24394736,442,0,0,2.0
94433588,91635397,442,0,0,2.0
150309994,147323592,826,0,2,2.0
112194964,109364968,3017,1,0,1.0
150446131,147458049,826,0,2,2.0
112194965,109364968,442,0,0,2.0
150578578,147586844,826,0,2,2.0
94433587,91635397,3017,1,0,1.0
150309993,147323592,2136,1,1,1.0
91269723,88477218,3017,1,0,1.0
14186181,13018290,3017,1,0,1.0
14186182,13018290,442,0,0,2.0
156641765,153534409,3017,1,1,1.0
91281077,88488421,442,0,0,2.0
150578577,147586844,2136,1,1,1.0
156641766,153534409,442,0,2,2.0
117152694,114310060,3017,1,0,1.0
69843476,67120661,2046,1,0,1.0
73396075,70660041,2046,1,0,1.0
73818925,71076790,2046,1,0,1.0
151848058,148817908,3017,1,1,1.0
5136584,4731067,2136,1,0,1.0
5477184,5046253,2136,1,0,1.0
14072173,12927977,620,1,0,1.0
14072174,12927977,724,1,0,2.0
14072175,12927978,56,1,0,1.0
14072176,12927978,180,1,0,2.0
14072177,12927979,2136,1,0,1.0
23581756,21130919,2136,1,0,1.0
41237180,38586349,2136,1,0,1.0
57387903,54693269,2136,1,0,1.0
68087450,65372536,2136,1,0,1.0
70274426,67551177,2136,1,0,1.0
113940943,111105325,2136,1,0,1.0
113999744,111163462,2136,1,0,1.0
129892197,127007659,2136,1,0,1.0
137549455,134650953,2136,1,0,1.0
38848270,36220397,124,0,0,3.0
38848268,36220397,2136,1,0,1.0
