ideltter,idtercmplx,cdepaysiso4n,incl,ordaff,ord_list
14230880,13043809,840,0,0,3.0
14230879,13043809,124,0,0,2.0
17501134,16047421,2136,1,0,1.0
14230878,13043809,2136,1,0,1.0
38848269,36220397,840,0,0,2.0
145933756,143014602,2136,1,1,1.0
154127151,151074968,2136,1,1,1.0
44455690,41784377,2136,1,0,1.0
124618192,121756488,2136,1,0,1.0
125057858,122196080,2136,1,0,1.0
27255235,24749159,372,0,0,3.0
106207798,103394595,372,0,0,3.0
14199546,13025375,2136,1,0,1.0
117633795,114790076,372,0,0,3.0
115281260,112440503,2136,1,0,1.0
92544027,89748759,826,0,0,2.0
98557625,95754195,2136,1,0,1.0
117142316,114299848,2136,1,0,1.0
102972599,100164993,372,0,0,3.0
106207796,103394595,2136,1,0,1.0
14199548,13025375,372,1,0,3.0
98979258,96175726,826,0,0,2.0
98557626,95754195,826,0,0,2.0
27255234,24749159,826,0,0,2.0
93898941,91101787,2136,1,0,1.0
102536953,99729392,372,0,0,3.0
98557627,95754195,372,0,0,3.0
101654081,98847325,826,0,0,2.0
92967804,90172034,826,0,0,2.0
115281262,112440503,372,0,0,3.0
115730078,112889309,372,0,0,3.0
117633794,114790076,826,0,0,2.0
106222768,103409683,372,0,0,3.0
93898943,91101787,372,0,0,3.0
98979259,96175726,372,0,0,3.0
115730077,112889309,826,0,0,2.0
99444988,96640418,372,0,0,3.0
92967803,90172034,2136,1,0,1.0
14199547,13025375,826,1,0,2.0
117142317,114299848,826,0,0,2.0
99444987,96640418,826,0,0,2.0
98979257,96175726,2136,1,0,1.0
92544028,89748759,372,0,0,3.0
102972598,100164993,826,0,0,2.0
91287243,88494263,826,0,0,2.0
115281261,112440503,826,0,0,2.0
91287244,88494263,372,0,0,3.0
115730076,112889309,2136,1,0,1.0
103383828,100576052,826,0,0,2.0
93898942,91101787,826,0,0,2.0
91287242,88494263,2136,1,0,1.0
102972597,100164993,2136,1,0,1.0
106222767,103409683,826,0,0,2.0
117633793,114790076,2136,1,0,1.0
117152857,114310137,826,0,0,2.0
103383829,100576052,372,0,0,3.0
102536952,99729392,826,0,0,2.0
117142318,114299848,372,0,0,3.0
117152856,114310137,2136,1,0,1.0
92544026,89748759,2136,1,0,1.0
101654082,98847325,372,0,0,3.0
27255233,24749159,2136,1,0,1.0
117152858,114310137,372,0,0,3.0
102536951,99729392,2136,1,0,1.0
106222766,103409683,2136,1,0,1.0
106207797,103394595,826,0,0,2.0
103383827,100576052,2136,1,0,1.0
101654080,98847325,2136,1,0,1.0
99444986,96640418,2136,1,0,1.0
92967805,90172034,372,0,0,3.0
14223396,13039679,3017,1,0,1.0
14223397,13039679,56,1,0,2.0
14223398,13039679,480,0,0,3.0
